SOURCE,RID,D_ROLE,D_EXP,AC1,AC2,TA_1,TA_2,TA_3,TA_4,TA_5,RA_1,RA_2,RA_3,RA_4,RA_5,AT_1,AT_2,AT_3,AT_4,AT_5,SAP_1,SAP_2,SAP_3,SAP_4,SAP_5,FR_1,FR_2,FR_3,FR_4,FR_5,IR_1,IR_2,IR_3,IR_4,IR_5,RPG_1,RPG_2,RPG_3,RPG_4,RPG_5,PMI_1,PMI_2,PMI_3,PMI_4,PMI_5,AJQ_1,AJQ_2,AJQ_3,AJQ_4,AJQ_5,APR_1,APR_2,APR_3,APR_4,APR_5,RAB_1,RAB_2,RAB_3,RAB_4,RAB_5
SIMULATED_PRACTICE_DATA,SIM_0040,Internal audit,Less than 2 years,4,4,1,2,2,3,3,4,3,4,2,4,3,2,4,3,2,2,3,3,2,3,3,4,3,3,3,3,4,4,2,4,4,2,3,3,4,3,4,4,2,5,3,3,4,3,4,5,3,3,3,3,3,3,4,3,3
SIMULATED_PRACTICE_DATA,SIM_0041,External audit,6 to 10 years,2,4,4,4,5,2,4,2,2,1,4,3,3,3,4,2,4,3,3,4,4,3,3,2,3,1,4,4,2,3,3,3,4,3,3,2,1,2,5,4,3,3,4,4,4,2,4,2,4,4,2,4,3,2,1,3,2
SIMULATED_PRACTICE_DATA,SIM_0042,Internal audit,11 to 15 years,2,4,4,5,3,2,4,4,5,3,1,5,3,4,3,3,2,4,5,5,2,5,5,4,5,2,5,3,2,2,3,3,3,3,3,2,2,4,4,5,1,5,4,3,4,1,4,5,4,5,1,5,4,4,5,3,3
SIMULATED_PRACTICE_DATA,SIM_0043,Quality assurance,11 to 15 years,2,4,5,4,5,1,5,5,4,3,1,4,4,4,4,3,4,3,5,4,2,4,4,4,3,1,4,2,4,4,3,3,4,5,4,2,3,3,4,2,3,3,5,4,5,3,5,5,5,5,1,4,5,5,5,2,5
SIMULATED_PRACTICE_DATA,SIM_0044,SOX controls,Less than 2 years,2,4,4,3,4,3,4,3,4,3,2,3,4,5,2,1,5,5,4,5,2,4,4,4,5,2,5,4,4,5,1,4,4,4,5,1,5,4,2,5,1,5,4,4,4,3,4,4,5,2,2,4,3,3,4,3,3
SIMULATED_PRACTICE_DATA,SIM_0045,External audit,6 to 10 years,2,4,3,2,2,3,3,4,2,2,4,2,2,2,2,2,3,4,3,3,2,4,4,3,3,4,2,2,3,2,3,3,2,4,4,2,3,2,1,1,4,2,2,2,2,4,2,3,4,4,2,3,4,3,3,3,3
SIMULATED_PRACTICE_DATA,SIM_0046,Enterprise risk,6 to 10 years,5,4,4,5,3,1,3,4,5,5,1,3,5,4,3,2,5,5,4,4,2,4,5,5,5,1,4,4,5,4,1,5,3,4,4,3,3,3,5,4,1,3,3,4,3,2,2,3,4,4,2,4,4,3,5,2,5
SIMULATED_PRACTICE_DATA,SIM_0047,External audit,Less than 2 years,2,4,3,3,3,1,3,3,3,5,2,4,4,3,2,3,4,4,4,3,1,5,5,4,3,3,4,4,4,4,2,5,2,5,3,2,2,4,5,4,2,3,5,4,5,1,5,5,4,5,2,4,5,4,3,2,4
SIMULATED_PRACTICE_DATA,SIM_0048,Quality assurance,2 to 5 years,2,4,3,4,4,1,4,3,3,2,3,2,3,3,2,3,3,3,3,5,3,4,4,3,3,3,4,3,3,2,3,4,2,3,2,3,2,4,3,4,3,3,4,3,3,2,2,2,3,4,4,2,4,4,3,3,3
SIMULATED_PRACTICE_DATA,SIM_0049,Internal audit,11 to 15 years,2,4,4,4,3,3,3,3,2,3,3,3,4,4,3,2,4,4,4,4,2,3,3,4,4,3,3,4,4,5,2,4,4,5,4,1,5,5,4,3,1,4,4,5,4,3,4,4,3,5,2,4,4,5,5,3,3
SIMULATED_PRACTICE_DATA,SIM_0050,Enterprise risk,16+ years,2,4,4,4,4,2,3,4,5,4,2,4,4,4,3,3,3,5,4,5,2,4,4,4,3,3,4,3,3,3,2,4,4,3,4,3,4,4,5,3,1,3,3,2,3,4,2,4,4,3,4,2,3,4,4,3,5
SIMULATED_PRACTICE_DATA,SIM_0051,Compliance testing,Less than 2 years,2,4,5,4,4,2,4,3,4,4,2,3,3,2,4,2,4,4,5,5,2,5,2,5,4,2,4,3,3,4,2,3,4,3,3,4,2,4,5,4,2,3,4,4,4,3,2,4,4,4,3,4,4,4,3,3,4
SIMULATED_PRACTICE_DATA,SIM_0052,Credit/loan review,6 to 10 years,2,4,4,5,5,2,5,5,4,4,1,3,5,3,4,3,4,3,3,4,3,4,5,5,4,1,4,5,4,4,1,5,5,5,4,1,5,3,5,3,2,3,5,5,5,1,5,4,4,5,2,5,4,4,5,3,3
SIMULATED_PRACTICE_DATA,SIM_0053,Internal audit,6 to 10 years,2,4,4,3,4,3,2,2,2,3,5,3,3,2,4,3,3,2,4,2,4,3,2,3,3,4,2,3,2,3,4,2,4,4,3,2,3,1,1,2,4,2,3,3,2,4,3,2,3,4,4,2,4,3,3,2,2
SIMULATED_PRACTICE_DATA,SIM_0054,External audit,6 to 10 years,2,4,5,3,4,2,5,3,3,2,4,2,3,4,3,3,4,4,4,2,3,4,3,3,5,4,2,3,3,2,2,4,2,1,3,3,3,5,4,4,2,3,3,4,2,3,3,2,3,3,3,5,3,2,3,3,2
SIMULATED_PRACTICE_DATA,SIM_0055,Internal audit,6 to 10 years,2,4,2,3,4,2,4,3,2,4,4,2,3,3,3,3,3,2,1,3,3,1,2,4,3,3,2,3,3,4,3,2,1,3,1,5,1,2,2,3,2,2,3,2,3,4,2,3,4,4,3,3,3,3,4,3,2
SIMULATED_PRACTICE_DATA,SIM_0056,External audit,2 to 5 years,2,4,3,1,3,4,2,5,3,3,3,3,2,4,4,3,3,4,3,3,2,4,3,4,2,2,4,4,4,3,2,4,3,4,4,1,3,2,3,2,4,3,4,3,3,3,2,3,3,3,3,3,2,2,3,4,2
SIMULATED_PRACTICE_DATA,SIM_0057,Internal audit,2 to 5 years,2,4,3,3,3,3,5,4,3,4,3,4,4,3,5,2,5,5,4,4,2,4,3,4,3,2,4,3,3,3,3,4,4,4,4,3,4,3,5,4,2,5,3,4,3,2,4,4,3,4,3,2,3,4,4,4,5
SIMULATED_PRACTICE_DATA,SIM_0058,Enterprise risk,Less than 2 years,3,4,4,4,3,3,5,2,4,3,3,2,4,4,3,2,5,4,4,5,1,5,3,3,5,2,4,3,5,3,2,3,4,3,2,4,3,3,5,4,3,5,5,4,4,2,4,3,4,4,3,4,3,4,4,3,4
SIMULATED_PRACTICE_DATA,SIM_0059,Internal audit,6 to 10 years,2,4,4,3,3,2,5,3,5,4,1,3,5,5,4,3,5,4,3,3,3,5,4,4,4,1,3,5,4,5,1,4,3,4,4,3,4,4,3,4,2,4,2,2,4,1,4,2,4,4,4,4,3,3,4,3,3
SIMULATED_PRACTICE_DATA,SIM_0060,Internal audit,11 to 15 years,2,4,3,3,2,2,4,3,3,4,3,3,2,3,3,4,3,3,4,3,2,3,3,5,4,2,3,4,3,2,3,4,5,5,5,3,4,4,2,4,3,3,4,3,3,4,4,5,5,3,2,4,5,2,5,2,3
SIMULATED_PRACTICE_DATA,SIM_0061,External audit,16+ years,2,4,4,5,4,3,4,3,2,3,2,4,3,3,4,3,2,3,3,3,3,2,4,5,2,2,3,3,3,3,4,4,2,3,4,1,2,4,3,4,3,3,4,3,3,2,3,3,3,4,3,3,5,4,5,2,4
SIMULATED_PRACTICE_DATA,SIM_0062,External audit,Less than 2 years,2,4,4,5,4,1,4,3,2,2,3,3,3,2,5,3,3,4,5,3,2,4,4,3,2,2,4,4,4,4,2,4,3,4,4,2,3,3,3,4,3,4,2,4,2,2,2,4,3,4,4,4,4,4,3,4,5
SIMULATED_PRACTICE_DATA,SIM_0063,Internal audit,16+ years,2,4,5,5,4,2,4,5,5,5,2,3,5,5,4,1,4,5,5,5,1,5,5,5,5,2,5,4,2,4,3,5,4,4,4,4,4,4,5,3,2,5,5,4,5,2,4,5,5,5,2,5,4,3,4,2,5
SIMULATED_PRACTICE_DATA,SIM_0064,Internal audit,2 to 5 years,2,4,4,3,2,3,4,4,5,4,2,5,2,2,4,3,3,4,2,3,3,3,3,5,3,2,3,3,3,2,4,4,4,3,2,3,3,2,3,2,3,3,3,4,3,3,4,2,3,2,3,2,2,3,3,3,3
SIMULATED_PRACTICE_DATA,SIM_0065,Internal audit,16+ years,2,4,4,3,2,3,4,3,4,4,3,4,2,5,2,3,3,3,3,2,3,2,4,4,3,2,4,3,3,2,3,2,2,3,3,3,4,4,2,3,2,3,3,3,3,3,3,2,4,3,3,3,2,4,2,4,1
SIMULATED_PRACTICE_DATA,SIM_0066,Compliance testing,11 to 15 years,2,4,2,4,5,1,4,3,2,2,3,3,4,4,4,3,2,4,4,3,1,4,4,4,3,1,3,5,4,4,1,5,3,4,3,3,5,2,3,2,4,3,3,3,2,3,4,4,4,4,2,4,4,2,4,2,4
SIMULATED_PRACTICE_DATA,SIM_0067,Enterprise risk,6 to 10 years,2,4,3,5,4,1,4,2,3,4,3,3,3,3,5,3,4,3,4,3,2,4,3,3,3,3,4,3,4,2,4,2,3,4,3,3,5,5,3,4,2,4,2,2,3,3,3,4,2,3,3,3,2,3,3,3,3
SIMULATED_PRACTICE_DATA,SIM_0068,External audit,11 to 15 years,2,4,5,5,5,2,5,2,3,4,4,4,3,4,3,3,3,2,2,2,3,3,3,4,4,2,3,3,4,3,2,4,3,3,2,2,2,4,3,3,4,2,3,5,4,3,3,3,3,3,3,3,5,4,2,3,3
SIMULATED_PRACTICE_DATA,SIM_0069,Credit/loan review,11 to 15 years,2,4,4,4,4,2,4,5,3,4,3,4,2,4,4,3,1,3,3,1,4,3,2,3,1,4,1,4,4,3,2,4,3,2,2,3,3,5,3,5,1,4,2,3,2,3,2,3,5,3,4,3,3,2,3,4,3
SIMULATED_PRACTICE_DATA,SIM_0070,Internal audit,Less than 2 years,2,4,4,3,4,1,5,5,5,3,1,5,3,4,2,3,4,4,4,5,2,3,4,4,3,2,4,4,4,5,3,4,3,2,3,3,4,2,4,3,3,2,4,3,3,1,3,2,5,2,2,3,4,3,3,4,3
SIMULATED_PRACTICE_DATA,SIM_0071,External audit,Less than 2 years,2,4,4,4,4,2,3,3,2,5,4,4,3,4,4,3,3,2,3,3,4,1,3,4,2,3,3,3,4,3,2,4,3,3,2,2,3,3,4,3,4,2,3,2,3,3,4,3,2,2,4,2,2,3,4,4,3
SIMULATED_PRACTICE_DATA,SIM_0072,Compliance testing,6 to 10 years,2,4,5,4,4,2,4,4,4,4,2,4,4,5,4,2,4,5,3,3,2,5,4,3,4,4,4,2,2,3,3,2,3,3,3,3,3,3,5,4,2,4,5,5,5,1,5,5,2,3,2,4,5,5,4,2,4
SIMULATED_PRACTICE_DATA,SIM_0073,Enterprise risk,Less than 2 years,2,4,5,4,3,1,2,3,4,4,3,5,4,5,3,3,5,4,5,3,2,4,4,3,4,2,5,5,4,4,2,5,3,4,3,3,4,4,3,4,2,5,4,3,4,2,3,2,3,4,3,3,3,3,3,4,4
SIMULATED_PRACTICE_DATA,SIM_0074,Quality assurance,Less than 2 years,2,4,3,1,4,4,1,4,3,4,3,4,4,3,3,2,4,3,4,5,1,4,3,2,3,1,4,3,4,4,2,3,4,4,3,1,3,4,4,5,2,3,3,5,5,3,4,3,5,4,2,5,3,5,4,1,4
SIMULATED_PRACTICE_DATA,SIM_0075,Quality assurance,11 to 15 years,2,4,3,3,2,3,4,3,3,3,2,1,3,4,4,3,4,3,2,3,3,2,3,4,5,3,4,2,2,3,4,2,4,4,4,3,3,5,2,3,3,3,2,2,2,3,3,2,2,1,4,2,4,3,3,3,3
SIMULATED_PRACTICE_DATA,SIM_0076,Credit/loan review,2 to 5 years,2,4,3,3,4,3,2,5,5,5,1,5,4,3,4,2,4,4,3,5,1,4,3,3,4,4,4,5,5,4,3,5,4,3,3,3,3,4,3,4,3,3,4,4,5,2,5,3,3,3,2,3,5,4,5,3,4
SIMULATED_PRACTICE_DATA,SIM_0077,Enterprise risk,2 to 5 years,2,4,4,4,2,2,3,2,3,4,3,2,5,4,5,1,5,4,3,2,3,2,4,2,3,3,4,3,3,4,3,3,4,3,3,3,3,5,5,5,2,4,4,3,3,3,4,3,3,2,2,5,4,3,4,4,3
SIMULATED_PRACTICE_DATA,SIM_0078,Enterprise risk,2 to 5 years,2,4,3,3,3,3,4,4,5,4,1,4,4,3,3,3,5,5,3,4,1,3,3,5,4,1,4,4,4,5,2,4,3,3,4,3,3,4,3,4,2,5,4,3,3,2,3,5,3,5,2,3,5,4,4,3,4
SIMULATED_PRACTICE_DATA,SIM_0079,Compliance testing,11 to 15 years,2,4,4,4,4,3,3,4,5,5,3,4,3,3,2,3,3,5,5,4,1,4,5,5,4,1,5,5,4,4,2,3,4,4,5,3,5,4,4,4,2,5,3,5,3,2,4,4,3,3,2,5,3,4,5,1,4
SIMULATED_PRACTICE_DATA,SIM_0080,Internal audit,Less than 2 years,2,4,3,3,2,2,4,3,3,4,3,5,3,2,2,3,4,2,3,3,4,4,3,3,3,3,3,3,4,3,2,3,4,3,2,3,3,2,4,2,2,3,3,2,3,2,4,2,4,3,3,3,3,2,2,2,3
SIMULATED_PRACTICE_DATA,SIM_0081,Credit/loan review,2 to 5 years,2,4,5,4,3,2,4,3,4,4,2,4,5,5,4,1,5,5,5,5,3,5,3,4,4,1,4,4,5,4,1,3,3,4,5,2,5,4,3,3,2,5,2,3,3,2,2,3,5,4,4,3,4,2,4,4,2
SIMULATED_PRACTICE_DATA,SIM_0082,Enterprise risk,6 to 10 years,2,4,3,3,1,3,3,3,5,4,2,2,2,3,4,3,4,3,2,4,2,4,2,3,2,3,3,2,2,2,4,3,2,4,3,2,3,3,3,2,4,4,4,3,4,2,4,4,5,3,2,3,3,4,5,2,5
SIMULATED_PRACTICE_DATA,SIM_0083,Credit/loan review,2 to 5 years,2,4,4,3,3,2,4,4,4,4,2,5,4,5,4,1,3,5,5,4,2,5,3,4,4,1,3,5,4,4,3,3,4,5,5,1,5,3,4,4,3,4,4,3,3,2,5,5,5,5,1,5,4,5,5,1,4
SIMULATED_PRACTICE_DATA,SIM_0084,Compliance testing,2 to 5 years,2,4,5,2,5,2,4,4,3,3,4,3,4,3,4,1,5,3,3,4,2,2,3,4,5,1,4,2,3,3,4,3,3,3,4,2,4,4,5,4,3,4,4,4,4,2,3,3,4,5,1,4,4,3,4,1,3
SIMULATED_PRACTICE_DATA,SIM_0085,Internal audit,6 to 10 years,2,4,1,2,3,3,4,4,3,1,4,2,3,4,2,3,3,4,4,5,2,4,2,3,2,2,3,4,4,4,2,4,3,4,3,4,2,1,3,1,4,1,3,4,4,3,3,4,5,4,3,5,3,3,5,2,4
SIMULATED_PRACTICE_DATA,SIM_0086,Internal audit,11 to 15 years,3,4,4,5,4,3,4,4,5,3,3,4,2,5,4,4,3,3,4,3,2,3,3,2,3,3,3,3,5,4,2,4,4,4,3,1,3,3,3,3,2,3,5,3,5,2,5,3,3,5,2,3,3,3,3,2,3
SIMULATED_PRACTICE_DATA,SIM_0087,Enterprise risk,6 to 10 years,2,4,4,3,3,3,4,3,4,3,3,5,3,3,3,5,4,3,4,3,2,5,3,4,3,4,3,2,2,2,4,3,4,4,3,1,2,4,4,3,3,3,4,4,4,3,3,3,3,4,3,4,4,4,4,2,5
