StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent,CONSENT,S1_COUNTRY,S2_LANGUAGE,S3_AUDIT_ROLE,S4_CONTINUING_ENG,S5_ATTESTATION,TA_1,TA_2,TA_3,TA_4,TA_5,RA_1,RA_2,RA_3,RA_4,RA_5,AT_1,AT_2,AT_3,AT_4,AT_5,SAP_1,SAP_2,SAP_3,SAP_4,SAP_5,AC1,FR_1,FR_2,FR_3,FR_4,FR_5,IR_1,IR_2,IR_3,IR_4,IR_5,RPG_1,RPG_2,RPG_3,RPG_4,RPG_5,PMI_1,PMI_2,PMI_3,PMI_4,PMI_5,AC2,AJQ_1,AJQ_2,AJQ_3,AJQ_4,AJQ_5,APR_1,APR_2,APR_3,APR_4,APR_5,RAB_1,RAB_2,RAB_3,RAB_4,RAB_5,OPEN_TEXT,C1_PRIORFILE,D1A_EXT_EXP,D1B_INT_EXP,D2_ROLE,D3_FIRM_TYPE,D3B_FIRM_SIZE,D4_INDUSTRY,D5_LONGTERM_EXPOSURE,D6_CREDENTIAL,D7_REGION
2026-06-30 13:13:28,2026-06-30 13:28:42,IP Address,100,914,True,2026-06-30 13:28:43,R_6o6epBI1rJUJTkC,anonymous,EN,1,,"Yes, I consent and wish to continue",Yes,Yes,No,No,"Yes, I confirm",Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,,On most engagements,Less than 2 years,0 (none),Audit support / other audit-related role,Private company,,Other,No,Other accounting credential,Remote / multi-region
2026-06-30 15:54:20,2026-06-30 16:05:38,IP Address,100,677,True,2026-06-30 16:05:39,R_5XWxEfPGGJzpso9,anonymous,EN,1,,"Yes, I consent and wish to continue",Yes,Yes,Yes,Yes,"Yes, I confirm",Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"While auditing a regulatory reporting process, management initially concluded that the process was low risk because prior-year audits had identified no significant findings. I challenged that assumption by evaluating recent system changes, updated regulatory requirements, and current control performance instead of relying on historical results. As a result, we expanded our testing and identified control weaknesses that required remediation.",On about half,0 (none),6 to 10 years,Internal audit,Public accounting firm,Big 4,Financial services / banking,No,Other accounting credential,Northeast
2026-07-01 08:14:02,2026-07-01 08:25:52,IP Address,100,709,True,2026-07-01 08:25:53,R_4T1UzLbMr2PSwgN,anonymous,EN,1,,"Yes, I consent and wish to continue",No,Yes,Yes,No,"Yes, I confirm",Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,My reviews are annual and there is no relationship between the previous and current reviews.,On some engagements,2 to 5 years,2 to 5 years,Not currently in an audit role,Private company,Sole practitioner,Financial services / banking,No,Other accounting credential,Northeast
2026-06-30 16:18:33,2026-07-01 10:04:50,IP Address,100,63977,True,2026-07-01 10:04:51,R_65Wleya4RqVqfN3,anonymous,EN,1,,"Yes, I consent and wish to continue",Yes,Yes,Yes,Yes,"Yes, I confirm",Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,"Initial figure gives me a baseline on where I think something should be around. If something is completely off, it would warrant more scrutiny ",On most engagements,11 to 15 years,6 to 10 years,Not currently in an audit role,Government,Big 4,Financial services / banking,Yes,CISA,Northeast
2026-06-30 09:04:00,2026-06-30 09:04:57,IP Address,6,57,False,2026-07-07 09:05:00,R_1jUQDl8TzZ0yZce,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30 12:23:56,2026-06-30 12:24:21,IP Address,24,24,False,2026-07-07 12:24:21,R_7b7z4ilpZCl6hpv,anonymous,EN,0.8999999761581421,,"Yes, I consent and wish to continue",Yes,Yes,Yes,Yes,"Yes, I confirm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30 13:40:10,2026-06-30 13:44:55,IP Address,39,284,False,2026-07-07 13:44:59,R_6D78HR3N5PCguAi,anonymous,EN,1,,"Yes, I consent and wish to continue",Yes,Yes,Yes,Yes,"Yes, I confirm",Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30 23:16:27,2026-06-30 23:18:39,IP Address,27,132,False,2026-07-07 23:18:44,R_71vaInAjL9CqJL6,anonymous,EN,1,,"Yes, I consent and wish to continue",Yes,Yes,Yes,Yes,"Yes, I confirm",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01 01:52:12,2026-07-01 01:53:49,IP Address,24,96,False,2026-07-08 01:53:52,R_9CT31wg99rNuGO4,anonymous,EN,1,,"Yes, I consent and wish to continue",No,Yes,No,No,"Yes, I confirm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-04 08:49:48,2026-07-04 12:45:41,IP Address,24,14153,False,2026-07-11 12:45:45,R_53duy6xP5ug3UfD,anonymous,EN,0.8999999761581421,,"Yes, I consent and wish to continue",Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-06 03:40:32,2026-07-06 03:40:39,IP Address,3,6,False,2026-07-13 03:40:43,R_837styIt2o3iAcE,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15 12:52:22,2026-07-15 13:07:38,IP Address,100,916,True,2026-07-15 13:07:39,R_3neXhvsYnz0duIf,anonymous,EN,0.5,,"Yes, I consent and wish to continue",Yes,Yes,Yes,Yes,"Yes, I confirm",Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,"During an audit, i noticed that the prior -year expense balance initially influenced my expectation for the current year. However, after reviewing the supporting documents and changes in business activity, i realized the current-year balance needed to be evaluated independently rather than relying too heavily on the prior-year figure.",On most engagements,2 to 5 years,Less than 2 years,External audit,Private company,Mid-tier (national or large regional),Financial services / banking,Yes,CPA,Midwest
